Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   68    0 0xffffff7f81f59000 0x2b000    0x2b000    com.apple.iokit.IOAHCIBlockStorage (301.40.2) 0D9325A5-E989-39F7-B3CF-75FC51C60627 <60 24 6 5 4 3 1>
   69    0 0xffffff7f82a9d000 0xa000     0xa000     com.apple.driver.AppleXsanScheme (3) 79D5E92F-789E-3C37-BE0E-7D1EAD697DD9 <24 5 4 3 1>
   70    0 0xffffff7f83785000 0xe6000    0xe6000    com.apple.filesystems.apfs (748.51.0) 016D80F4-504A-326D-8381-36563F01BBCF <39 24 9 7 6 5 4 3 1>
   74    2 0xffffff7f81620000 0xad000    0xad000    com.apple.iokit.IOUSBFamily (900.4.1) 65B2C3F7-D9DC-353D-B419-5CA35A9FC040 <30 29 12 7 5 4 3 1>
   75    0 0xffffff7f818aa000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 16A5779C-23DE-3248-ACF5-B3389A7B280A <30 29 7 6 5 4 3 1>
   76    1 0xffffff7f828f3000 0x8000     0x8000     com.apple.filesystems.hfs.encodings.kext (1) F737F125-223E-3B67-B4FF-5AB56291D4FE <7 6 5 4 3 1>
   77    1 0xffffff7f828fb000 0x67000    0x67000    com.apple.filesystems.hfs.kext (407.50.6) 09445723-F283-31E5-B409-43D905BA81C6 <76 7 6 5 4 3 1>
   78    0 0xffffff7f82a76000 0xd000     0xd000     com.apple.BootCache (40) D4B1BD0D-E85C-3EAA-B921-F540E223A140 <7 6 5 4 3 1>
   79    0 0xffffff7f83641000 0x6000     0x6000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) DE611B2E-7CDB-3E2F-8DE3-9E901934B5D7 <6 4 3 2 1>
   80    0 0xffffff7f83649000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 0E534BB5-46F5-33CC-BE18-146D0A19B5F9 <7 6 4 3 2 1>
